order_id,customer_id,product_id,date_id,region_id,order_quantity,order_amount
1,100256,200059,20240601,4,2,5598.83
2,100027,200100,20231101,7,1,16779.14
3,100482,200087,20230211,18,2,4574.99
4,100577,200090,20230414,11,1,6339.56
5,100399,200108,20250613,9,1,9838.13
6,100230,200084,20230519,10,2,15159.7
7,100362,200067,20230515,9,1,11678.18
8,100540,200041,20260330,5,1,5277.96
9,100269,200090,20251101,5,1,9481.08
10,100218,200017,20230219,11,2,15360.32
11,100297,200100,20241212,1,1,15140.39
12,100289,200072,20240715,1,1,14773.58
13,100115,200007,20250916,10,2,27726.3
14,100464,200024,20250728,4,1,5846.57
15,100119,200083,20250913,9,2,9447.17
16,100024,200105,20251118,19,1,14787.6
17,100206,200107,20260209,2,2,24874.3
18,100337,200104,20241008,3,1,15819.0
19,100444,200094,20250814,11,1,4930.22
20,100414,200041,20241202,5,2,7245.51
21,100280,200058,20240402,21,3,1520.99
22,100333,200020,20241111,8,1,13087.6
23,100014,200025,20250719,6,1,13015.86
24,100031,200112,20230923,4,2,6988.04
25,100459,200051,20240924,21,2,3090.72
26,100052,200063,20231126,7,4,4347.96
27,100529,200039,20250101,6,2,33639.26
28,100261,200021,20241228,14,2,31404.22
29,100569,200063,20251002,12,3,7416.08
30,100142,200079,20231128,1,2,10076.98
31,100147,200021,20230426,3,1,11103.05
32,100567,200029,20230516,9,1,15900.52
33,100431,200017,20230831,3,2,21031.61
34,100259,200027,20250518,9,1,24789.0
35,100219,200108,20240710,13,1,8318.34
36,100096,200108,20241229,6,1,12075.91
37,100027,200049,20230113,13,1,2520.03
38,100236,200040,20241104,5,2,33671.42
39,100144,200106,20240705,20,1,7982.32
40,100316,200029,20240323,4,2,50817.5
41,100260,200003,20230102,20,1,9703.99
42,100589,200045,20230715,13,1,7697.23
43,100157,200077,20230504,10,1,5316.12
44,100002,200024,20241216,1,1,11430.95
45,100307,200103,20251031,12,1,11679.01
46,100510,200019,20250306,9,1,7635.83
47,100021,200040,20240104,7,1,9086.19
48,100064,200109,20260201,6,1,7055.65
49,100274,200081,20241117,21,3,20920.11
50,100416,200024,20250419,4,2,27718.94
51,100477,200035,20231030,9,2,14548.94
52,100036,200068,20230226,5,1,6869.59
53,100107,200042,20250824,14,2,11966.75
54,100182,200082,20230427,20,3,4605.57
55,100482,200087,20240927,2,3,4952.62
56,100599,200039,20230428,17,2,14705.19
57,100076,200052,20240924,20,1,394.51
58,100327,200049,20240825,17,2,11125.27
59,100046,200001,20251114,2,1,22188.49
60,100290,200084,20250320,6,3,19839.28
61,100370,200009,20231229,9,1,10035.85
62,100152,200070,20230827,4,1,2911.5
63,100345,200022,20240118,14,2,18247.71
64,100482,200004,20260206,11,1,12766.19
65,100035,200016,20250724,20,2,9912.67
66,100330,200020,20240622,2,1,18037.05
67,100284,200107,20230506,9,2,16693.68
68,100001,200016,20251125,15,1,13078.77
69,100060,200106,20250707,11,1,11394.98
70,100590,200032,20250706,4,1,22977.56
71,100143,200017,20241227,14,1,7171.83
72,100549,200022,20240610,20,1,6907.76
73,100295,200080,20230911,19,2,8593.02
74,100440,200080,20250114,16,2,9914.06
75,100009,200061,20241010,1,1,3533.22
76,100431,200004,20240130,15,1,4134.8
77,100432,200001,20240317,20,2,6550.09
78,100110,200099,20250426,17,1,4845.93
79,100036,200107,20230712,15,1,10448.94
80,100293,200041,20240624,9,1,4438.21
81,100058,200079,20230816,7,1,4680.84
82,100102,200022,20230423,8,1,10735.22
83,100010,200060,20241119,3,4,16833.41
84,100532,200019,20230331,9,1,6945.69
85,100208,200021,20250831,7,1,16939.95
86,100592,200010,20230122,12,1,7542.65
87,100259,200117,20250820,10,2,9781.57
88,100515,200018,20240708,3,1,9777.67
89,100319,200046,20230611,16,2,5407.8
90,100172,200094,20240604,11,1,2637.08
91,100284,200099,20231226,9,1,8742.29
92,100342,200072,20230929,18,1,3251.08
93,100508,200096,20231224,4,1,3175.2
94,100297,200049,20240622,14,2,3786.1
95,100241,200116,20250625,10,2,11759.93
96,100269,200097,20260104,6,1,9926.3
97,100434,200050,20230220,9,1,5348.11
98,100582,200015,20250209,21,1,9294.14
99,100469,200040,20240822,7,2,10894.55
100,100443,200002,20250924,19,2,19845.54
101,100008,200104,20231122,2,1,5731.6
102,100549,200044,20240913,4,2,24905.48
103,100506,200101,20250926,12,2,20037.01
104,100116,200013,20250109,5,1,5755.43
105,100357,200105,20260319,8,2,22822.46
106,100219,200076,20231019,4,3,15611.88
107,100205,200111,20240622,10,1,17207.04
108,100131,200024,20230214,4,2,21858.3
109,100271,200013,20250704,11,1,5537.03
110,100240,200029,20240520,6,1,23584.93
111,100586,200064,20230328,17,1,6551.42
112,100516,200076,20230428,2,1,4285.15
113,100452,200060,20240822,10,1,2000.84
114,100043,200052,20240923,8,4,17500.71
115,100427,200116,20250616,21,1,9879.13
116,100073,200072,20240521,17,1,10057.31
117,100105,200096,20230322,17,1,2696.96
118,100031,200008,20250324,2,1,8902.9
119,100536,200108,20250906,4,1,13030.37
120,100422,200097,20241026,9,1,13378.63
121,100499,200088,20250828,2,1,6131.89
122,100448,200102,20230208,19,1,2519.96
123,100013,200054,20250913,14,1,511.17
124,100260,200103,20231103,20,1,10105.44
125,100574,200024,20260302,12,2,14887.81
126,100264,200074,20251010,5,1,25835.05
127,100355,200105,20251216,6,1,5613.55
128,100212,200109,20241010,21,1,4582.24
129,100342,200089,20230117,1,1,9311.89
130,100236,200083,20230925,8,2,10958.57
131,100505,200050,20250607,1,2,17821.67
132,100150,200085,20231215,7,1,5780.41
133,100083,200074,20250101,11,1,15551.6
134,100264,200064,20240223,14,1,17011.25
135,100352,200001,20241129,7,2,31142.38
136,100463,200086,20251206,7,1,7150.64
137,100246,200104,20250815,9,2,20817.86
138,100342,200057,20250803,7,4,8723.53
139,100270,200048,20251220,8,1,11848.5
140,100235,200084,20240807,10,1,10363.32
141,100260,200033,20260117,21,1,13157.21
142,100463,200026,20250212,12,2,14390.5
143,100384,200011,20240818,13,1,6101.86
144,100302,200055,20250810,11,3,8236.51
145,100083,200094,20230724,12,1,10027.33
146,100311,200016,20230227,13,1,9871.61
147,100349,200014,20250303,3,1,5423.35
148,100445,200020,20241127,20,1,10396.89
149,100428,200008,20250730,2,1,5467.18
150,100517,200057,20231216,6,1,3194.21
151,100246,200016,20240406,12,2,11883.48
152,100365,200050,20230809,20,1,5553.94
153,100331,200074,20230116,9,1,18632.53
154,100044,200081,20250527,8,2,1944.33
155,100401,200034,20230424,8,2,38370.67
156,100057,200119,20240228,6,1,8971.37
157,100426,200025,20240502,3,2,28637.01
158,100011,200028,20240830,8,1,13200.28
159,100491,200112,20260105,12,1,9720.12
160,100490,200067,20240411,11,1,10567.62
161,100087,200084,20240320,21,3,2111.27
162,100515,200090,20250620,10,1,5077.26
163,100160,200073,20241105,14,1,24035.91
164,100274,200050,20250526,9,1,5378.56
165,100483,200050,20250923,7,1,14138.07
166,100439,200098,20230310,2,1,2322.47
167,100149,200111,20250712,4,2,24497.46
168,100522,200063,20240118,17,4,7145.6
169,100150,200017,20230125,20,1,5853.3
170,100180,200107,20241209,5,2,13126.65
171,100356,200093,20250314,19,1,14321.2
172,100202,200034,20250305,9,2,17517.2
173,100177,200073,20250813,17,1,11577.23
174,100143,200115,20251014,16,1,5340.04
175,100410,200045,20231212,12,1,3796.45
176,100046,200025,20241201,4,2,22820.51
177,100577,200098,20240107,5,1,7455.74
178,100510,200059,20240302,7,1,2561.93
179,100330,200074,20230730,20,1,11592.76
180,100474,200050,20251118,8,2,14154.32
181,100476,200001,20241005,1,1,6486.36
182,100185,200091,20251110,12,1,8771.74
183,100366,200060,20240809,2,1,1836.78
184,100487,200045,20240106,16,1,8723.61
185,100350,200003,20240707,7,2,41011.49
186,100408,200087,20250319,17,2,7116.98
187,100346,200015,20250312,18,2,13633.73
188,100024,200048,20240716,4,2,6241.24
189,100287,200065,20250921,21,1,4592.62
190,100346,200104,20230310,7,1,8082.23
191,100035,200097,20241106,13,1,10139.89
192,100129,200014,20240618,10,2,12470.78
193,100544,200014,20251109,12,2,24256.1
194,100214,200098,20240210,5,1,10755.43
195,100012,200029,20251022,10,1,18419.53
196,100296,200116,20230411,7,2,20852.06
197,100267,200094,20231010,8,1,11163.15
198,100389,200018,20230830,19,1,2793.74
199,100340,200089,20240630,8,1,14678.76
200,100595,200048,20230419,2,2,9906.41
201,100466,200008,20230702,20,1,2123.86
202,100227,200104,20230722,8,2,16962.59
203,100042,200075,20250313,4,1,10326.96
204,100516,200053,20230402,6,4,14432.27
205,100164,200059,20250628,3,1,2549.63
206,100568,200058,20230702,11,2,1713.89
207,100067,200024,20231001,1,2,21883.49
208,100200,200016,20231022,2,1,8426.39
209,100118,200060,20250429,5,4,14500.86
210,100314,200041,20250917,8,1,5685.25
211,100457,200106,20250817,11,2,19057.68
212,100053,200001,20240531,3,1,6617.23
213,100015,200119,20230726,2,1,9876.49
214,100018,200079,20231023,6,1,2653.65
215,100503,200060,20250512,5,4,14210.59
216,100107,200120,20241226,9,1,9243.73
217,100511,200092,20230321,15,1,10913.79
218,100339,200025,20230415,11,2,20349.16
219,100500,200099,20230331,14,1,7388.49
220,100326,200104,20240318,3,1,4882.34
221,100553,200044,20240910,16,2,16623.36
222,100198,200065,20240316,16,1,1783.32
223,100533,200067,20250220,11,1,12260.05
224,100458,200021,20260107,19,2,13340.47
225,100084,200109,20240714,18,1,3001.72
226,100378,200080,20260103,7,2,18444.32
227,100218,200028,20231219,9,2,33295.55
228,100296,200090,20230419,9,1,15032.55
229,100191,200001,20241006,2,2,20935.73
230,100579,200041,20260322,4,2,36573.56
231,100552,200101,20251015,21,1,4028.63
232,100408,200044,20250126,5,2,23679.6
233,100555,200065,20241020,13,1,8991.59
234,100106,200053,20240626,8,4,5251.8
235,100493,200015,20260301,20,1,4152.49
236,100476,200097,20230830,10,1,10006.75
237,100541,200093,20260130,15,1,4845.14
238,100296,200036,20240718,11,1,23411.17
239,100032,200003,20260225,19,2,14009.32
240,100129,200111,20241115,4,2,32680.91
241,100316,200112,20260113,19,2,6986.95
242,100182,200011,20250731,16,2,22822.1
243,100462,200057,20240823,9,1,1885.38
244,100094,200110,20240920,14,1,4674.77
245,100293,200108,20241029,5,1,7178.8
246,100191,200076,20231214,6,3,7231.11
247,100314,200018,20230530,19,2,5121.42
248,100507,200059,20260108,11,4,2910.37
249,100334,200012,20230426,7,1,6487.12
250,100335,200086,20251211,19,1,1189.48
251,100473,200064,20260222,21,1,14069.05
252,100016,200019,20230706,14,1,6131.37
253,100446,200104,20240509,3,1,7102.97
254,100298,200089,20230513,10,1,5312.79
255,100187,200013,20240627,6,2,15267.64
256,100121,200094,20241207,5,1,7167.98
257,100522,200109,20260117,6,2,19448.79
258,100065,200044,20241101,5,1,11492.58
259,100391,200100,20240626,15,1,8107.96
260,100493,200102,20240127,10,1,7142.11
261,100342,200030,20230524,13,1,11099.0
262,100060,200094,20230303,3,1,13404.2
263,100346,200069,20251118,4,1,42436.45
264,100108,200085,20241019,8,2,8790.43
265,100327,200053,20230715,2,3,1351.61
266,100214,200034,20240125,10,1,24848.25
267,100130,200028,20260113,16,1,13636.43
268,100010,200039,20231227,19,1,15211.53
269,100428,200014,20250522,7,2,44502.16
270,100156,200064,20230803,15,1,1877.71
271,100465,200004,20231122,6,2,13592.63
272,100461,200093,20240619,20,1,12086.84
273,100513,200111,20250806,10,2,28757.33
274,100583,200060,20230718,8,4,3354.62
275,100170,200103,20240710,9,2,16660.71
276,100339,200024,20250219,5,2,12606.18
277,100494,200103,20250630,14,2,33680.07
278,100474,200047,20260321,9,2,10554.61
279,100395,200093,20240911,12,1,9530.77
280,100233,200100,20251224,3,1,11690.61
281,100325,200113,20231213,14,2,23739.58
282,100518,200043,20241122,19,2,10546.32
283,100315,200008,20250626,7,1,19453.33
284,100055,200004,20230222,21,2,13713.4
285,100317,200088,20250312,6,1,17300.0
286,100491,200071,20250112,10,1,15502.93
287,100395,200098,20230128,6,1,13816.77
288,100323,200063,20230405,9,2,559.55
289,100369,200096,20240522,11,1,12618.8
290,100430,200075,20230721,1,1,19365.08
291,100213,200009,20241018,13,1,10895.31
292,100092,200118,20230603,6,2,14957.73
293,100246,200090,20240705,16,1,12196.27
294,100222,200070,20241222,14,1,21970.6
295,100529,200030,20260203,7,2,25800.29
296,100210,200043,20240828,20,2,5610.99
